name,wins,losses,total_combats,win_rate,id,types,attack,defense,hp,speed
Drifloon,5.0,3.0,8.0,0.625,473.0,Ghost/Flying,50.0,34.0,90.0,70.0
Dugtrio,5.0,3.0,8.0,0.625,57.0,Ground,80.0,50.0,35.0,120.0
Exeggcute,5.0,3.0,8.0,0.625,111.0,Grass/Psychic,40.0,80.0,60.0,40.0
Furret,5.0,3.0,8.0,0.625,177.0,Normal,76.0,64.0,85.0,90.0
Giratina Altered Forme,5.0,3.0,8.0,0.625,545.0,Ghost/Dragon,100.0,120.0,150.0,90.0
Haunter,5.0,3.0,8.0,0.625,101.0,Ghost/Poison,50.0,45.0,45.0,95.0
Houndour,5.0,3.0,8.0,0.625,247.0,Dark/Fire,60.0,30.0,45.0,65.0
Joltik,5.0,3.0,8.0,0.625,657.0,Bug/Electric,47.0,50.0,50.0,65.0
Kricketune,5.0,3.0,8.0,0.625,448.0,Bug,85.0,51.0,77.0,65.0
Linoone,5.0,3.0,8.0,0.625,288.0,Normal,70.0,61.0,78.0,100.0
Ludicolo,5.0,3.0,8.0,0.625,296.0,Water/Grass,70.0,70.0,80.0,70.0
Mega Aggron,5.0,3.0,8.0,0.625,334.0,Steel,140.0,230.0,70.0,50.0
Mega Heracross,5.0,3.0,8.0,0.625,233.0,Bug/Fighting,185.0,115.0,80.0,75.0
Omastar,5.0,3.0,8.0,0.625,151.0,Rock/Water,60.0,125.0,70.0,55.0
Rhyperior,5.0,3.0,8.0,0.625,516.0,Ground/Rock,140.0,130.0,115.0,40.0
Vullaby,5.0,3.0,8.0,0.625,691.0,Dark/Flying,55.0,75.0,70.0,60.0
Aggron,6.0,4.0,10.0,0.6,333.0,Steel/Rock,110.0,180.0,70.0,50.0
Beautifly,6.0,4.0,10.0,0.6,291.0,Bug/Flying,70.0,50.0,60.0,65.0
Combee,6.0,4.0,10.0,0.6,463.0,Bug/Flying,30.0,42.0,30.0,70.0
Druddigon,6.0,4.0,10.0,0.6,683.0,Dragon,120.0,90.0,77.0,48.0
Kadabra,6.0,4.0,10.0,0.6,70.0,Psychic,35.0,30.0,40.0,105.0
Mega Mewtwo X,6.0,4.0,10.0,0.6,164.0,Psychic/Fighting,190.0,100.0,106.0,130.0
Porygon-Z,6.0,4.0,10.0,0.6,526.0,Normal,80.0,70.0,85.0,90.0
Tauros,6.0,4.0,10.0,0.6,139.0,Normal,100.0,95.0,75.0,110.0
Venomoth,6.0,4.0,10.0,0.6,55.0,Bug/Poison,65.0,60.0,70.0,90.0
Bellossom,3.0,2.0,5.0,0.6,198.0,Grass,80.0,95.0,75.0,50.0
Bunnelby,3.0,2.0,5.0,0.6,728.0,Normal,36.0,38.0,38.0,57.0
Chimecho,3.0,2.0,5.0,0.6,392.0,Psychic,50.0,70.0,65.0,65.0
Ferrothorn,3.0,2.0,5.0,0.6,660.0,Grass/Steel,94.0,131.0,74.0,20.0
Gabite,3.0,2.0,5.0,0.6,493.0,Dragon/Ground,90.0,65.0,68.0,82.0
Grovyle,3.0,2.0,5.0,0.6,274.0,Grass,65.0,45.0,50.0,95.0
Hoopa Unbound,3.0,2.0,5.0,0.6,799.0,Psychic/Dark,160.0,60.0,80.0,80.0
Jumpluff,3.0,2.0,5.0,0.6,205.0,"Grass, Flying/Flying",55.0,70.0,75.0,110.0
Politoed,3.0,2.0,5.0,0.6,202.0,Water,75.0,75.0,90.0,70.0
Quilava,3.0,2.0,5.0,0.6,171.0,Fire,64.0,58.0,58.0,80.0
Rhydon,3.0,2.0,5.0,0.6,121.0,Ground/Rock,130.0,120.0,105.0,40.0
Riolu,3.0,2.0,5.0,0.6,497.0,Fighting,70.0,40.0,40.0,60.0
Skiploom,3.0,2.0,5.0,0.6,204.0,Grass/Flying,45.0,50.0,55.0,80.0
Treecko,3.0,2.0,5.0,0.6,273.0,Grass,45.0,35.0,40.0,70.0
Voltorb,3.0,2.0,5.0,0.6,109.0,Electric,30.0,50.0,40.0,100.0
Beedrill,4.0,3.0,7.0,0.5714,19.0,Bug/Poison,90.0,40.0,65.0,75.0
Bibarel,4.0,3.0,7.0,0.5714,446.0,Normal/Water,85.0,60.0,79.0,71.0
Bouffalant,4.0,3.0,7.0,0.5714,688.0,Normal,110.0,95.0,95.0,55.0
Cofagrigus,4.0,3.0,7.0,0.5714,625.0,Ghost,50.0,145.0,58.0,30.0
Diggersby,4.0,3.0,7.0,0.5714,729.0,Normal/Ground,56.0,77.0,85.0,78.0
Empoleon,4.0,3.0,7.0,0.5714,441.0,Water/Steel,86.0,88.0,84.0,60.0
Feraligatr,4.0,3.0,7.0,0.5714,175.0,Water,105.0,100.0,85.0,78.0
Hitmonlee,4.0,3.0,7.0,0.5714,115.0,Fighting,120.0,53.0,50.0,87.0
Lopunny,4.0,3.0,7.0,0.5714,476.0,Normal,76.0,84.0,65.0,105.0
Mega Alakazam,4.0,3.0,7.0,0.5714,72.0,Psychic,50.0,65.0,55.0,150.0
Palpitoad,4.0,3.0,7.0,0.5714,597.0,Water/Ground,65.0,55.0,75.0,69.0
Pupitar,4.0,3.0,7.0,0.5714,267.0,Rock/Ground,84.0,70.0,70.0,51.0
Quilladin,4.0,3.0,7.0,0.5714,720.0,Grass,78.0,95.0,61.0,57.0
Rotom,4.0,3.0,7.0,0.5714,532.0,Electric/Ghost,50.0,77.0,50.0,91.0
Scrafty,4.0,3.0,7.0,0.5714,622.0,Dark/Fighting,90.0,115.0,65.0,58.0
Skorupi,4.0,3.0,7.0,0.5714,502.0,Poison/Bug,50.0,90.0,40.0,65.0
Ampharos,5.0,4.0,9.0,0.5556,196.0,Electric,75.0,85.0,90.0,55.0
Dratini,5.0,4.0,9.0,0.5556,160.0,Dragon,64.0,45.0,41.0,50.0
Gastly,5.0,4.0,9.0,0.5556,100.0,Ghost/Poison,35.0,30.0,30.0,80.0
Lanturn,5.0,4.0,9.0,0.5556,186.0,Water/Electric,58.0,58.0,125.0,67.0
Mega Blastoise,5.0,4.0,9.0,0.5556,13.0,Water,103.0,120.0,79.0,78.0
Whiscash,5.0,4.0,9.0,0.5556,373.0,Water/Ground,78.0,73.0,110.0,60.0
Xatu,5.0,4.0,9.0,0.5556,193.0,Psychic/Flying,75.0,70.0,65.0,95.0
Zygarde Half Forme,5.0,4.0,9.0,0.5556,795.0,Dragon/Ground,100.0,121.0,108.0,95.0
Butterfree,6.0,5.0,11.0,0.5455,16.0,Bug/Flying,45.0,50.0,60.0,70.0
Mega Medicham,6.0,5.0,11.0,0.5455,337.0,Fighting/Psychic,100.0,85.0,60.0,100.0
Ekans,7.0,6.0,13.0,0.5385,29.0,Poison,60.0,44.0,35.0,55.0
Glalie,7.0,6.0,13.0,0.5385,397.0,Ice,80.0,80.0,80.0,80.0
Mandibuzz,7.0,6.0,13.0,0.5385,692.0,Dark/Flying,65.0,105.0,110.0,80.0
Nidoqueen,7.0,6.0,13.0,0.5385,37.0,Poison/Ground,92.0,87.0,90.0,76.0
Mr. Mime,6.0,6.0,12.0,0.5,132.0,Psychic/Fairy,45.0,65.0,40.0,90.0
Barbaracle,5.0,5.0,10.0,0.5,760.0,Rock/Water,105.0,115.0,72.0,68.0
Gliscor,5.0,5.0,10.0,0.5,524.0,Ground/Flying,95.0,125.0,75.0,95.0
Golurk,5.0,5.0,10.0,0.5,685.0,Ground/Ghost,124.0,80.0,89.0,55.0
Kirlia,5.0,5.0,10.0,0.5,305.0,Psychic/Fairy,35.0,35.0,38.0,50.0
Luvdisc,5.0,5.0,10.0,0.5,406.0,Water,30.0,55.0,43.0,97.0
Pidgey,5.0,5.0,10.0,0.5,21.0,Normal/Flying,45.0,40.0,40.0,56.0
Blitzle,4.0,4.0,8.0,0.5,582.0,Electric,60.0,32.0,45.0,76.0
Cloyster,4.0,4.0,8.0,0.5,99.0,Water/Ice,95.0,180.0,50.0,70.0
Doduo,4.0,4.0,8.0,0.5,92.0,Normal/Flying,85.0,45.0,35.0,75.0
Hypno,4.0,4.0,8.0,0.5,106.0,Psychic,73.0,70.0,85.0,67.0
Muk,4.0,4.0,8.0,0.5,97.0,Poison,105.0,75.0,105.0,50.0
Natu,4.0,4.0,8.0,0.5,192.0,Psychic/Flying,50.0,45.0,40.0,70.0
Noctowl,4.0,4.0,8.0,0.5,179.0,Normal/Flying,50.0,50.0,100.0,70.0
Piloswine,4.0,4.0,8.0,0.5,240.0,Ice/Ground,100.0,80.0,100.0,50.0
Porygon,4.0,4.0,8.0,0.5,149.0,Normal,60.0,70.0,65.0,40.0
Smoochum,4.0,4.0,8.0,0.5,258.0,Ice/Psychic,30.0,15.0,45.0,65.0
Vigoroth,4.0,4.0,8.0,0.5,313.0,Normal,80.0,80.0,80.0,90.0
Armaldo,3.0,3.0,6.0,0.5,381.0,Rock/Bug,125.0,100.0,75.0,45.0
Azumarill,3.0,3.0,6.0,0.5,200.0,Water/Fairy,50.0,80.0,100.0,50.0
Chandelure,3.0,3.0,6.0,0.5,671.0,Ghost/Fire,55.0,90.0,60.0,80.0
Charmander,3.0,3.0,6.0,0.5,5.0,Fire,52.0,43.0,39.0,65.0
Conkeldurr,3.0,3.0,6.0,0.5,595.0,Fighting,140.0,95.0,105.0,45.0
Growlithe,3.0,3.0,6.0,0.5,64.0,Fire,70.0,45.0,55.0,60.0
Gurdurr,3.0,3.0,6.0,0.5,594.0,Fighting,105.0,85.0,85.0,40.0
Pawniard,3.0,3.0,6.0,0.5,686.0,Dark/Steel,85.0,70.0,45.0,60.0
Pumpkaboo Large Size,3.0,3.0,6.0,0.5,783.0,Ghost/Grass,66.0,70.0,54.0,46.0
Snorlax,3.0,3.0,6.0,0.5,156.0,Normal,110.0,65.0,160.0,30.0
Togekiss,3.0,3.0,6.0,0.5,520.0,Fairy/Flying,50.0,95.0,85.0,80.0
Vanillish,3.0,3.0,6.0,0.5,645.0,Ice,65.0,65.0,51.0,59.0
Volcanion,3.0,3.0,6.0,0.5,800.0,Fire/Water,110.0,120.0,80.0,70.0
Aipom,2.0,2.0,4.0,0.5,206.0,Normal,70.0,55.0,55.0,85.0
Goldeen,2.0,2.0,4.0,0.5,128.0,Water,67.0,60.0,45.0,63.0
Mega Garchomp,2.0,2.0,4.0,0.5,495.0,Dragon/Ground,170.0,115.0,108.0,92.0
Mega Swampert,2.0,2.0,4.0,0.5,284.0,Water/Ground,150.0,110.0,100.0,70.0
Nidorina,2.0,2.0,4.0,0.5,36.0,Poison,62.0,67.0,70.0,56.0
Regirock,2.0,2.0,4.0,0.5,415.0,Rock,100.0,200.0,80.0,50.0
Wailmer,2.0,2.0,4.0,0.5,351.0,Water,70.0,35.0,130.0,60.0
Weezing,2.0,2.0,4.0,0.5,119.0,Poison,90.0,120.0,65.0,60.0
Buizel,1.0,1.0,2.0,0.5,466.0,Water,65.0,35.0,55.0,85.0
Eevee,1.0,1.0,2.0,0.5,145.0,Normal,55.0,50.0,55.0,55.0
Magikarp,1.0,1.0,2.0,0.5,140.0,Water,10.0,55.0,20.0,80.0
Mega Metagross,1.0,1.0,2.0,0.5,414.0,Steel/Psychic,145.0,150.0,80.0,110.0
Venusaur,1.0,1.0,2.0,0.5,3.0,Grass/Poison,82.0,83.0,80.0,80.0
Altaria,5.0,6.0,11.0,0.4545,366.0,Dragon/Flying,70.0,90.0,75.0,80.0
Gloom,5.0,6.0,11.0,0.4545,50.0,Grass/Poison,65.0,70.0,60.0,40.0
Gogoat,5.0,6.0,11.0,0.4545,742.0,Grass,100.0,62.0,123.0,68.0
Milotic,5.0,6.0,11.0,0.4545,383.0,Water,60.0,79.0,95.0,81.0
Staryu,5.0,6.0,11.0,0.4545,130.0,Water,45.0,55.0,30.0,85.0
Axew,4.0,5.0,9.0,0.4444,672.0,Dragon,87.0,60.0,46.0,57.0
Baltoy,4.0,5.0,9.0,0.4444,376.0,Ground/Psychic,40.0,55.0,40.0,55.0
Bayleef,4.0,5.0,9.0,0.4444,168.0,Grass,62.0,80.0,60.0,60.0
Clawitzer,4.0,5.0,9.0,0.4444,764.0,Water,73.0,88.0,71.0,59.0
Cottonee,4.0,5.0,9.0,0.4444,607.0,Grass/Fairy,27.0,60.0,40.0,66.0
Diglett,4.0,5.0,9.0,0.4444,56.0,Ground,55.0,25.0,10.0,95.0
Dragalge,4.0,5.0,9.0,0.4444,762.0,Poison/Dragon,75.0,90.0,65.0,44.0
Ledian,4.0,5.0,9.0,0.4444,181.0,Bug/Flying,35.0,50.0,55.0,85.0
Mankey,4.0,5.0,9.0,0.4444,62.0,Fighting,80.0,35.0,40.0,70.0
Mega Sableye,4.0,5.0,9.0,0.4444,328.0,Dark/Ghost,85.0,125.0,50.0,20.0
Stunfisk,4.0,5.0,9.0,0.4444,680.0,Ground/Electric,66.0,84.0,109.0,32.0
Swampert,4.0,5.0,9.0,0.4444,283.0,"Water, Fighting/Ground",110.0,90.0,100.0,60.0
Zubat,4.0,5.0,9.0,0.4444,47.0,Poison/Flying,45.0,35.0,40.0,55.0
  Farfetch'd  ,3.0,4.0,7.0,0.4286,91.0,Normal/Flying,65.0,55.0,52.0,60.0
Beartic,3.0,4.0,7.0,0.4286,676.0,Ice,110.0,80.0,95.0,50.0
Braixen,3.0,4.0,7.0,0.4286,723.0,Fire,59.0,58.0,59.0,73.0
Chingling,3.0,4.0,7.0,0.4286,482.0,Psychic,30.0,50.0,45.0,45.0
Combusken,3.0,4.0,7.0,0.4286,278.0,Fire/Fighting,85.0,60.0,60.0,55.0
Flareon,3.0,4.0,7.0,0.4286,148.0,Fire,130.0,60.0,65.0,65.0
Gothita,3.0,4.0,7.0,0.4286,636.0,Psychic,30.0,50.0,45.0,45.0
Grumpig,3.0,4.0,7.0,0.4286,358.0,Psychic,45.0,65.0,80.0,80.0
Hoopa Confined,3.0,4.0,7.0,0.4286,798.0,Psychic/Ghost,110.0,60.0,80.0,70.0
Litleo,3.0,4.0,7.0,0.4286,736.0,Fire/Normal,50.0,58.0,62.0,72.0
Loudred,3.0,4.0,7.0,0.4286,319.0,Normal,71.0,43.0,84.0,48.0
Mantyke,3.0,4.0,7.0,0.4286,509.0,Water/Flying,20.0,50.0,45.0,50.0
Mega Mawile,3.0,4.0,7.0,0.4286,330.0,Steel/Fairy,105.0,125.0,50.0,50.0
Rampardos,3.0,4.0,7.0,0.4286,455.0,Rock,165.0,60.0,97.0,58.0
Samurott,3.0,4.0,7.0,0.4286,563.0,Water,100.0,85.0,95.0,70.0
Skuntank,3.0,4.0,7.0,0.4286,484.0,Poison/Dark,93.0,67.0,103.0,84.0
Stantler,3.0,4.0,7.0,0.4286,254.0,Normal,95.0,62.0,73.0,85.0
Vileplume,3.0,4.0,7.0,0.4286,51.0,Grass/Poison,80.0,85.0,75.0,50.0
Croconaw,5.0,7.0,12.0,0.4167,174.0,Water,80.0,80.0,65.0,58.0
Espurr,5.0,7.0,12.0,0.4167,746.0,Psychic,48.0,54.0,62.0,68.0
Meowth,5.0,7.0,12.0,0.4167,58.0,Normal,45.0,35.0,40.0,90.0
Smeargle,5.0,7.0,12.0,0.4167,255.0,Normal,20.0,35.0,55.0,75.0
Carbink,4.0,6.0,10.0,0.4,774.0,Rock/Fairy,50.0,150.0,50.0,50.0
Frillish,4.0,6.0,10.0,0.4,654.0,Water/Ghost,40.0,50.0,55.0,40.0
Glaceon,4.0,6.0,10.0,0.4,523.0,Ice,60.0,110.0,65.0,65.0
Gothitelle,4.0,6.0,10.0,0.4,638.0,Psychic,55.0,95.0,70.0,65.0
Mega Venusaur,4.0,6.0,10.0,0.4,4.0,Grass/Poison,100.0,123.0,80.0,80.0
Sewaddle,4.0,6.0,10.0,0.4,601.0,Bug/Grass,53.0,70.0,45.0,42.0
Slowking,4.0,6.0,10.0,0.4,215.0,Water/Psychic,75.0,80.0,95.0,30.0
Walrein,4.0,6.0,10.0,0.4,401.0,Ice/Water,80.0,90.0,110.0,65.0
Audino,2.0,3.0,5.0,0.4,591.0,Normal,60.0,86.0,103.0,50.0
Beheeyem,2.0,3.0,5.0,0.4,668.0,Psychic,75.0,75.0,75.0,40.0
Blaziken,2.0,3.0,5.0,0.4,279.0,Fire/Fighting,120.0,70.0,80.0,80.0
Breloom,2.0,3.0,5.0,0.4,311.0,Grass/Fighting,130.0,80.0,60.0,70.0
Chinchou,2.0,3.0,5.0,0.4,185.0,Water/Electric,38.0,38.0,75.0,67.0
Cradily,2.0,3.0,5.0,0.4,379.0,Rock/Grass,81.0,97.0,86.0,43.0
Delcatty,2.0,3.0,5.0,0.4,326.0,Normal,65.0,65.0,70.0,70.0
Dewott,2.0,3.0,5.0,0.4,562.0,Water,75.0,60.0,75.0,60.0
Electabuzz,2.0,3.0,5.0,0.4,135.0,Electric,83.0,57.0,65.0,105.0
Florges,2.0,3.0,5.0,0.4,740.0,Fairy,65.0,68.0,78.0,75.0
Golett,2.0,3.0,5.0,0.4,684.0,Ground/Ghost,74.0,50.0,59.0,35.0
Hippopotas,2.0,3.0,5.0,0.4,500.0,Ground,72.0,78.0,68.0,32.0
Honedge,2.0,3.0,5.0,0.4,749.0,Steel/Ghost,80.0,100.0,45.0,28.0
Meganium,2.0,3.0,5.0,0.4,169.0,Grass,82.0,100.0,80.0,80.0
Miltank,2.0,3.0,5.0,0.4,261.0,Normal,80.0,105.0,95.0,100.0
Pidgeotto,2.0,3.0,5.0,0.4,22.0,Normal/Flying,60.0,55.0,63.0,71.0
Probopass,2.0,3.0,5.0,0.4,529.0,Rock/Steel,55.0,145.0,60.0,40.0
Rattata,2.0,3.0,5.0,0.4,25.0,Normal,56.0,35.0,30.0,72.0
Rufflet,2.0,3.0,5.0,0.4,689.0,Normal/Flying,83.0,50.0,70.0,60.0
Sandslash,2.0,3.0,5.0,0.4,34.0,Ground,100.0,110.0,75.0,65.0
Shelgon,2.0,3.0,5.0,0.4,408.0,Dragon,95.0,100.0,65.0,50.0
Snorunt,2.0,3.0,5.0,0.4,396.0,Ice,50.0,50.0,50.0,50.0
Togetic,2.0,3.0,5.0,0.4,191.0,Fairy/Flying,40.0,85.0,55.0,40.0
Whismur,2.0,3.0,5.0,0.4,318.0,Normal,51.0,23.0,64.0,28.0
Zigzagoon,2.0,3.0,5.0,0.4,287.0,Normal,30.0,41.0,38.0,60.0
Herdier,5.0,8.0,13.0,0.3846,567.0,Normal,80.0,65.0,65.0,60.0
Ivysaur,5.0,8.0,13.0,0.3846,2.0,Grass/Poison,62.0,63.0,60.0,60.0
Watchog,5.0,8.0,13.0,0.3846,565.0,Normal,85.0,69.0,60.0,77.0
Boldore,3.0,5.0,8.0,0.375,585.0,Rock,105.0,105.0,70.0,20.0
Castform,3.0,5.0,8.0,0.375,384.0,Normal,70.0,70.0,70.0,70.0
Clauncher,3.0,5.0,8.0,0.375,763.0,Water,53.0,62.0,50.0,44.0
Crawdaunt,3.0,5.0,8.0,0.375,375.0,Water/Dark,120.0,85.0,63.0,55.0
Doublade,3.0,5.0,8.0,0.375,750.0,Steel/Ghost,110.0,150.0,59.0,35.0
Girafarig,3.0,5.0,8.0,0.375,219.0,Normal/Psychic,80.0,65.0,70.0,85.0
Glameow,3.0,5.0,8.0,0.375,480.0,Normal,55.0,42.0,49.0,85.0
Helioptile,3.0,5.0,8.0,0.375,765.0,Electric/Normal,38.0,33.0,44.0,70.0
Marshtomp,3.0,5.0,8.0,0.375,282.0,Water/Ground,85.0,70.0,70.0,50.0
Mightyena,3.0,5.0,8.0,0.375,286.0,Dark,90.0,70.0,70.0,70.0
Porygon2,3.0,5.0,8.0,0.375,253.0,Normal,80.0,90.0,85.0,60.0
Swalot,3.0,5.0,8.0,0.375,347.0,Poison,73.0,83.0,100.0,55.0
Tirtouga,3.0,5.0,8.0,0.375,626.0,Water/Rock,78.0,103.0,54.0,22.0
Dwebble,4.0,7.0,11.0,0.3636,619.0,Bug/Rock,65.0,85.0,50.0,55.0
Larvitar,4.0,7.0,11.0,0.3636,266.0,Rock/Ground,64.0,50.0,50.0,41.0
Nidoking,4.0,7.0,11.0,0.3636,40.0,Poison/Ground,102.0,77.0,81.0,85.0
Tangrowth,4.0,7.0,11.0,0.3636,517.0,Grass,100.0,125.0,100.0,50.0
Wingull,4.0,7.0,11.0,0.3636,302.0,Water/Flying,30.0,30.0,40.0,85.0
Snubbull,5.0,9.0,14.0,0.3571,226.0,Fairy,80.0,50.0,60.0,30.0
Huntail,4.0,8.0,12.0,0.3333,403.0,Water,104.0,105.0,55.0,52.0
Shiftry,4.0,8.0,12.0,0.3333,299.0,Grass/Dark,100.0,60.0,90.0,80.0
  Grotle  ,3.0,6.0,9.0,0.3333,434.0,Grass,89.0,85.0,75.0,36.0
Graveler,3.0,6.0,9.0,0.3333,82.0,Rock/Ground,95.0,115.0,55.0,35.0
Pelipper,3.0,6.0,9.0,0.3333,303.0,Water/Flying,50.0,100.0,60.0,65.0
Poliwrath,3.0,6.0,9.0,0.3333,68.0,Water/Fighting,95.0,95.0,90.0,70.0
Seviper,3.0,6.0,9.0,0.3333,369.0,Poison,100.0,60.0,73.0,65.0
Totodile,3.0,6.0,9.0,0.3333,173.0,Water,65.0,64.0,50.0,43.0
Trevenant,3.0,6.0,9.0,0.3333,780.0,Ghost/Grass,110.0,76.0,85.0,56.0
Tyranitar,3.0,6.0,9.0,0.3333,268.0,Rock/Dark,134.0,110.0,100.0,61.0
Vanillite,3.0,6.0,9.0,0.3333,644.0,Ice,50.0,50.0,36.0,44.0
Abra,2.0,4.0,6.0,0.3333,69.0,Psychic,20.0,15.0,25.0,90.0
Anorith,2.0,4.0,6.0,0.3333,380.0,Rock/Bug,95.0,50.0,45.0,75.0
Chesnaught,2.0,4.0,6.0,0.3333,721.0,Grass/Fighting,107.0,122.0,88.0,64.0
Cleffa,2.0,4.0,6.0,0.3333,188.0,Fairy,25.0,28.0,50.0,15.0
Corphish,2.0,4.0,6.0,0.3333,374.0,Water,80.0,65.0,43.0,35.0
Fennekin,2.0,4.0,6.0,0.3333,722.0,Fire,45.0,40.0,40.0,60.0
Floette,2.0,4.0,6.0,0.3333,739.0,Fairy,45.0,47.0,54.0,52.0
Heatran,2.0,4.0,6.0,0.3333,543.0,Fire/Steel,90.0,106.0,91.0,77.0
Klang,2.0,4.0,6.0,0.3333,662.0,Steel,80.0,95.0,60.0,50.0
Meditite,2.0,4.0,6.0,0.3333,335.0,Fighting/Psychic,40.0,55.0,30.0,60.0
Mega Ampharos,2.0,4.0,6.0,0.3333,197.0,Electric/Dragon,95.0,105.0,90.0,45.0
Mega Scizor,2.0,4.0,6.0,0.3333,230.0,Bug/Steel,150.0,140.0,70.0,75.0
Pansear,2.0,4.0,6.0,0.3333,573.0,Fire,53.0,48.0,50.0,64.0
Pumpkaboo Average Size,2.0,4.0,6.0,0.3333,781.0,Ghost/Grass,66.0,70.0,49.0,51.0
Pumpkaboo Super Size,2.0,4.0,6.0,0.3333,784.0,Ghost/Grass,66.0,70.0,59.0,41.0
Registeel,2.0,4.0,6.0,0.3333,417.0,Steel,75.0,150.0,80.0,50.0
Scizor,2.0,4.0,6.0,0.3333,229.0,Bug/Steel,130.0,100.0,70.0,65.0
Seismitoad,2.0,4.0,6.0,0.3333,598.0,Water/Ground,95.0,75.0,105.0,74.0
Spiritomb,2.0,4.0,6.0,0.3333,491.0,Ghost/Dark,92.0,108.0,50.0,35.0
Spoink,2.0,4.0,6.0,0.3333,357.0,Psychic,25.0,35.0,60.0,60.0
Staravia,2.0,4.0,6.0,0.3333,443.0,Normal/Flying,75.0,50.0,55.0,80.0
Starly,2.0,4.0,6.0,0.3333,442.0,Normal/Flying,55.0,30.0,40.0,60.0
Sudowoodo,2.0,4.0,6.0,0.3333,201.0,Rock,100.0,115.0,70.0,30.0
Torkoal,2.0,4.0,6.0,0.3333,356.0,Fire,85.0,140.0,70.0,20.0
Woobat,2.0,4.0,6.0,0.3333,587.0,Psychic/Flying,45.0,43.0,55.0,72.0
Zorua,2.0,4.0,6.0,0.3333,632.0,Dark,65.0,40.0,40.0,65.0
Dewgong,1.0,2.0,3.0,0.3333,95.0,Water/Ice,70.0,80.0,90.0,70.0
Granbull,1.0,2.0,3.0,0.3333,227.0,Fairy,120.0,75.0,90.0,45.0
Heatmor,1.0,2.0,3.0,0.3333,693.0,Fire,97.0,66.0,85.0,65.0
Karrablast,1.0,2.0,3.0,0.3333,650.0,Bug,75.0,45.0,50.0,60.0
Mawile,1.0,2.0,3.0,0.3333,329.0,Steel/Fairy,85.0,85.0,50.0,50.0
Nidoran♀,1.0,2.0,3.0,0.3333,35.0,Poison,47.0,52.0,55.0,41.0
Psyduck,1.0,2.0,3.0,0.3333,60.0,Water,52.0,48.0,50.0,55.0
Sceptile,1.0,2.0,3.0,0.3333,275.0,Grass,85.0,65.0,70.0,120.0
Trubbish,1.0,2.0,3.0,0.3333,630.0,Poison,50.0,62.0,50.0,65.0
Weepinbell,1.0,2.0,3.0,0.3333,77.0,Grass/Poison,90.0,50.0,65.0,55.0
Flabébé,4.0,9.0,13.0,0.3077,738.0,Fairy,38.0,39.0,44.0,42.0
Gyarados,4.0,9.0,13.0,0.3077,141.0,Water/Flying,125.0,79.0,95.0,81.0
Barboach,3.0,7.0,10.0,0.3,372.0,Water/Ground,48.0,43.0,50.0,60.0
Beldum,3.0,7.0,10.0,0.3,411.0,Steel/Psychic,55.0,80.0,40.0,30.0
Cacturne,3.0,7.0,10.0,0.3,364.0,Grass/Dark,115.0,60.0,70.0,55.0
Mega Steelix,3.0,7.0,10.0,0.3,225.0,Steel/Ground,125.0,230.0,75.0,30.0
Pidove,3.0,7.0,10.0,0.3,579.0,Normal/Flying,55.0,50.0,50.0,43.0
Skiddo,3.0,7.0,10.0,0.3,741.0,Grass,65.0,48.0,66.0,52.0
Tangela,3.0,7.0,10.0,0.3,123.0,Grass,55.0,115.0,65.0,60.0
Amaura,2.0,5.0,7.0,0.2857,769.0,Rock/Ice,59.0,50.0,77.0,46.0
Binacle,2.0,5.0,7.0,0.2857,759.0,Rock/Water,52.0,67.0,42.0,50.0
Flaaffy,2.0,5.0,7.0,0.2857,195.0,Electric,55.0,55.0,70.0,45.0
Fraxure,2.0,5.0,7.0,0.2857,673.0,Dragon,117.0,70.0,66.0,67.0
Kakuna,2.0,5.0,7.0,0.2857,18.0,Bug/Poison,25.0,50.0,45.0,35.0
Lunatone,2.0,5.0,7.0,0.2857,370.0,Rock/Psychic,55.0,65.0,70.0,70.0
Magby,2.0,5.0,7.0,0.2857,260.0,Fire,75.0,37.0,45.0,83.0
Magnemite,2.0,5.0,7.0,0.2857,89.0,Electric/Steel,35.0,70.0,25.0,45.0
Mienfoo,2.0,5.0,7.0,0.2857,681.0,Fighting,85.0,50.0,45.0,65.0
Mime Jr.,2.0,5.0,7.0,0.2857,488.0,Psychic/Fairy,25.0,45.0,20.0,60.0
Minccino,2.0,5.0,7.0,0.2857,634.0,Normal,50.0,40.0,55.0,75.0
Nincada,2.0,5.0,7.0,0.2857,315.0,Bug/Ground,45.0,90.0,31.0,40.0
Pangoro,2.0,5.0,7.0,0.2857,744.0,Fighting/Dark,124.0,78.0,95.0,58.0
Petilil,2.0,5.0,7.0,0.2857,609.0,Grass,35.0,50.0,45.0,30.0
Phione,2.0,5.0,7.0,0.2857,548.0,Water,80.0,80.0,80.0,80.0
Swinub,2.0,5.0,7.0,0.2857,239.0,Ice/Ground,50.0,40.0,50.0,50.0
Swirlix,2.0,5.0,7.0,0.2857,755.0,Fairy,48.0,66.0,62.0,49.0
Vibrava,2.0,5.0,7.0,0.2857,361.0,Ground/Dragon,70.0,50.0,50.0,70.0
Hippowdon,3.0,8.0,11.0,0.2727,501.0,Ground,112.0,118.0,108.0,47.0
Paras,3.0,8.0,11.0,0.2727,52.0,Bug/Grass,70.0,55.0,35.0,25.0
